date,total_confirm,total_dead,total_heal,total_severe,total_suspect,today_confirm,today_dead,today_heal,today_severe,today_storeConfirm,today_suspect,name
2020-01-20,270,6,25,0,0,270,6,25,,,0.0,湖北
2020-01-21,375,9,25,0,0,105,3,0,,,,湖北
2020-01-22,444,17,28,0,0,69,8,3,,,0.0,湖北
2020-01-23,549,24,28,0,710,105,7,0,,,,湖北
2020-01-24,729,39,31,0,1405,180,15,3,,,,湖北
2020-01-25,1052,52,32,0,1887,323,13,1,,,,湖北
2020-01-26,1423,76,42,0,4472,371,24,10,,,,湖北
2020-01-27,2714,100,44,0,5324,1291,24,2,,,,湖北
2020-01-28,3554,125,47,0,6940,840,25,3,,,,湖北
2020-01-29,4586,162,90,0,9033,1032,37,43,,,,湖北
2020-01-30,5806,204,136,0,11272,1220,42,46,,,,湖北
2020-01-31,7153,249,166,0,13577,1347,45,30,,,,湖北
2020-02-01,9074,294,215,0,14872,1921,45,49,,,,湖北
2020-02-02,11177,350,295,0,16898,2103,56,80,,,,湖北
2020-02-03,13522,414,396,0,18549,2345,64,101,,,,湖北
2020-02-04,16678,479,520,0,18447,3156,65,124,,,,湖北
2020-02-05,19665,549,633,0,0,2987,70,113,,,0.0,湖北
2020-02-06,22112,618,817,0,21261,2447,69,184,,,0.0,湖北
2020-02-07,24953,699,1115,0,0,2841,81,298,,,0.0,湖北
2020-02-08,27100,780,1439,0,28942,2147,81,324,0.0,,0.0,湖北
2020-02-09,29631,871,1795,0,0,2531,91,356,,,0.0,湖北
2020-02-10,31728,974,2222,0,0,2097,103,427,,,0.0,湖北
2020-02-11,33366,1068,2639,0,0,1638,94,417,,,0.0,湖北
2020-02-12,47163,1202,3172,0,0,13797,134,533,,,0.0,湖北
2020-02-13,51986,1318,3862,0,0,4823,116,690,,,0.0,湖北
2020-02-14,54401,1457,4774,0,0,2415,139,912,,,0.0,湖北
2020-02-15,56249,1596,5623,0,0,1848,139,849,,,0.0,湖北
2020-02-16,58182,1696,6639,0,0,1933,100,1016,,,0.0,湖北
2020-02-17,59989,1789,7862,0,0,1807,93,1223,,,0.0,湖北
2020-02-18,61682,1921,9128,0,0,1693,132,1266,,,,湖北
2020-02-19,62457,2029,10337,0,0,775,108,1209,,,,湖北
2020-02-20,63088,2144,11790,0,0,631,115,1453,,,,湖北
2020-02-21,63454,2250,13557,0,0,366,106,1767,,,,湖北
2020-02-22,63889,2346,15299,0,0,435,96,1742,,,,湖北
2020-02-23,64287,2495,16738,0,0,398,149,1439,,,,湖北
2020-02-24,64786,2563,18854,0,0,499,68,2116,,,,湖北
2020-02-25,65187,2615,20912,0,0,401,52,2058,,,,湖北
2020-02-26,65596,2641,23200,0,0,409,26,2288,,,,湖北
2020-02-27,65914,2682,26403,0,0,318,41,3203,,,,湖北
2020-02-28,66337,2727,28895,0,0,423,45,2492,,,,湖北
2020-02-29,66907,2761,31187,0,0,570,34,2292,,,,湖北
2020-03-01,67103,2803,33757,0,0,196,42,2570,,,,湖北
2020-03-02,67217,2834,36167,0,0,114,31,2410,,,,湖北
2020-03-03,67332,2871,38556,0,0,115,37,2389,,,,湖北
2020-03-04,67466,2902,40479,0,0,134,31,1923,,,,湖北
2020-03-05,67592,2931,41966,0,0,126,29,1487,,,,湖北
2020-03-06,67666,2959,43468,0,0,74,28,1502,,,,湖北
2020-03-07,67707,2986,45011,0,0,41,27,1543,,,,湖北
2020-03-08,67743,3007,46433,0,0,36,21,1422,,,,湖北
2020-03-09,67760,3024,47585,0,0,17,17,1152,,,,湖北
2020-03-10,67773,3046,49056,0,0,13,22,1471,,,,湖北
2020-03-11,67781,3056,50298,0,0,8,10,1242,,,,湖北
2020-03-12,67786,3062,51553,0,0,5,6,1255,,,,湖北
2020-03-13,67790,3075,52943,0,0,4,13,1390,,,,湖北
2020-03-14,67794,3085,54278,0,0,4,10,1335,,,,湖北
2020-03-15,67798,3099,55094,0,0,4,14,816,,,,湖北
2020-03-16,67799,3111,55987,0,0,1,12,893,,,,湖北
2020-03-17,67800,3122,56883,0,0,1,11,896,,,,湖北
2020-03-18,67800,3130,57678,0,0,0,8,795,,,,湖北
2020-03-19,67800,3132,58381,0,0,0,2,703,0.0,,0.0,湖北
2020-03-20,67800,3139,58942,0,0,0,7,561,,,,湖北
2020-03-21,67800,3144,59432,0,0,0,5,490,,,,湖北
2020-03-22,67800,3153,59879,0,0,0,9,447,,,,湖北
2020-03-23,67801,3160,60323,0,0,1,7,444,,,,湖北
2020-03-24,67801,3163,60810,0,0,0,3,487,,,,湖北
2020-03-25,67801,3169,61201,0,0,0,6,391,,,,湖北
2020-01-23,53,0,0,0,17,53,0,0,,,,广东
2020-01-24,78,0,2,0,18,25,0,2,,,,广东
2020-01-25,98,0,2,0,40,20,0,0,,,,广东
2020-01-26,146,0,2,0,54,48,0,0,,,,广东
2020-01-27,188,0,2,0,73,42,0,0,,,,广东
2020-01-28,241,0,5,0,122,53,0,3,,,,广东
2020-01-29,311,0,8,0,137,70,0,3,,,,广东
2020-01-30,393,0,11,0,151,82,0,3,,,,广东
2020-01-31,520,0,11,0,126,127,0,0,,,,广东
2020-02-01,604,0,12,0,157,84,0,1,,,,广东
2020-02-02,683,0,15,0,205,79,0,3,,,,广东
2020-02-03,797,0,20,0,180,114,0,5,,,,广东
2020-02-04,870,0,32,0,136,73,0,12,,,,广东
2020-02-05,944,0,49,0,0,74,0,17,,,0.0,广东
2020-02-06,1018,1,68,0,170,74,1,19,,,71.0,广东
2020-02-07,1075,1,97,0,170,57,0,29,,,0.0,广东
2020-02-08,1120,1,125,0,0,45,0,28,,,,广东
2020-02-09,1151,1,143,0,0,31,0,18,,,,广东
2020-02-10,1177,1,181,0,0,26,0,38,,,0.0,广东
2020-02-11,1219,1,241,0,0,42,0,60,,,,广东
2020-02-12,1241,2,284,0,0,22,1,43,,,0.0,广东
2020-02-13,1261,2,332,0,0,20,0,48,,,,广东
2020-02-14,1294,2,386,0,0,33,0,54,,,,广东
2020-02-15,1316,2,436,0,0,22,0,50,,,,广东
2020-02-16,1322,4,473,0,0,6,2,37,,,,广东
2020-02-17,1328,4,530,0,0,6,0,57,,,,广东
2020-02-18,1331,5,571,0,0,3,1,41,,,,广东
2020-02-19,1332,5,619,0,0,1,0,48,,,,广东
2020-02-20,1333,5,664,0,0,1,0,45,,,,广东
2020-02-21,1339,5,720,0,0,6,0,56,,,,广东
2020-02-22,1342,6,740,0,0,3,1,20,,,,广东
2020-02-23,1345,6,772,0,0,3,0,32,,,,广东
2020-02-24,1347,7,805,0,0,2,1,33,,,0.0,广东
2020-02-25,1347,7,841,0,0,0,0,36,,,,广东
2020-02-26,1347,7,873,0,0,0,0,32,,,,广东
2020-02-27,1348,7,919,0,0,1,0,46,,,,广东
2020-02-28,1349,7,972,0,0,1,0,53,,,,广东
2020-02-29,1349,7,1009,0,0,0,0,37,,,,广东
2020-03-01,1350,7,1034,0,0,1,0,25,,,,广东
2020-03-02,1350,7,1081,0,0,0,0,47,,,0.0,广东
2020-03-03,1350,7,1129,0,0,0,0,48,,,,广东
2020-03-04,1350,7,1159,0,0,0,0,30,,,,广东
2020-03-05,1351,7,1209,0,0,1,0,50,,,,广东
2020-03-06,1352,7,1233,0,0,1,0,24,,,,广东
2020-03-07,1352,7,1250,0,0,0,0,17,,,,广东
2020-03-08,1352,8,1260,0,0,0,1,10,,,,广东
2020-03-09,1353,8,1270,0,0,1,0,10,,,,广东
2020-03-10,1353,8,1282,0,0,0,0,12,,,,广东
2020-03-11,1356,8,1288,0,0,3,0,6,,,,广东
2020-03-12,1356,8,1296,0,0,0,0,8,,,,广东
2020-03-13,1356,8,1299,0,0,0,0,3,,,,广东
2020-03-14,1357,8,1303,0,0,1,0,4,,,,广东
2020-03-15,1361,8,1306,0,0,4,0,3,,,,广东
2020-03-16,1364,8,1307,0,0,3,0,1,,,,广东
2020-03-17,1369,8,1312,0,0,5,0,5,,,,广东
2020-03-18,1378,8,1318,0,0,9,0,6,0.0,,0.0,广东
2020-03-19,1392,8,1322,0,0,14,0,4,,,,广东
2020-03-20,1399,8,1325,0,0,7,0,3,,,,广东
2020-03-21,1407,8,1329,0,0,8,0,4,,,,广东
2020-03-22,1413,8,1332,0,0,6,0,3,,,,广东
2020-03-23,1428,8,1333,0,0,15,0,1,,,,广东
2020-03-24,1433,8,1334,0,0,5,0,1,,,,广东
2020-03-25,1444,8,1336,0,0,11,0,2,,,,广东
2020-01-21,1,0,0,0,0,1,0,0,,,,河南
2020-01-22,5,0,0,0,0,4,0,0,,,,河南
2020-01-23,5,0,0,0,0,0,0,0,,,0.0,河南
2020-01-24,5,0,0,0,0,0,0,0,,,0.0,河南
2020-01-25,83,1,0,0,165,78,1,0,,,,河南
2020-01-26,128,1,0,0,212,45,0,0,,,,河南
2020-01-27,168,1,0,0,266,40,0,0,,,,河南
2020-01-28,206,2,1,0,411,38,1,1,,,,河南
2020-01-29,278,2,2,0,584,72,0,1,,,,河南
2020-01-30,352,2,3,0,735,74,0,1,,,,河南
2020-01-31,422,2,3,0,751,70,0,0,,,,河南
2020-02-01,493,2,8,0,754,71,0,5,,,,河南
2020-02-02,566,2,14,0,760,73,0,6,,,,河南
2020-02-03,675,2,20,0,678,109,0,6,,,,河南
2020-02-04,764,2,41,0,693,89,0,21,,,,河南
2020-02-05,851,3,54,0,0,87,1,13,,,0.0,河南
2020-02-06,914,3,68,0,654,63,0,14,,,307.0,河南
2020-02-07,981,4,97,0,654,67,1,29,,,0.0,河南
2020-02-08,1033,6,131,0,0,52,2,34,,,,河南
2020-02-09,1073,6,174,0,0,40,0,43,,,0.0,河南
2020-02-10,1105,7,198,0,0,32,1,24,,,,河南
2020-02-11,1135,8,231,0,0,30,1,33,,,,河南
2020-02-12,1169,10,258,0,0,34,2,27,,,,河南
2020-02-13,1184,11,311,0,0,15,1,53,,,,河南
2020-02-14,1212,13,356,0,0,28,2,45,,,,河南
2020-02-15,1231,13,404,0,0,19,0,48,,,,河南
2020-02-16,1246,16,438,0,0,15,3,34,,,0.0,河南
2020-02-17,1257,19,505,0,0,11,3,67,,,0.0,河南
2020-02-18,1261,19,552,0,0,4,0,47,,,,河南
2020-02-19,1265,19,614,0,0,4,0,62,,,,河南
2020-02-20,1267,19,717,0,0,2,0,103,,,,河南
2020-02-21,1270,19,802,0,0,3,0,85,,,,河南
2020-02-22,1271,19,861,0,0,1,0,59,,,,河南
2020-02-23,1271,19,930,0,0,0,0,69,,,,河南
2020-02-24,1271,19,989,0,0,0,0,59,,,,河南
2020-02-25,1271,19,1023,0,0,0,0,34,,,,河南
2020-02-26,1272,20,1062,0,0,1,1,39,,,,河南
2020-02-27,1272,20,1103,0,0,0,0,41,,,,河南
2020-02-28,1272,21,1161,0,0,0,1,58,,,,河南
2020-02-29,1272,22,1185,0,0,0,1,24,,,,河南
2020-03-01,1272,22,1205,0,0,0,0,20,,,,河南
2020-03-02,1272,22,1223,0,0,0,0,18,,,,河南
2020-03-03,1272,22,1234,0,0,0,0,11,,,,河南
2020-03-04,1272,22,1239,0,0,0,0,5,,,,河南
2020-03-05,1272,22,1241,0,0,0,0,2,,,,河南
2020-03-06,1272,22,1243,0,0,0,0,2,,,,河南
2020-03-07,1272,22,1246,0,0,0,0,3,,,,河南
2020-03-08,1272,22,1247,0,0,0,0,1,,,,河南
2020-03-09,1272,22,1247,0,0,0,0,0,,,,河南
2020-03-10,1272,22,1249,0,0,0,0,2,,,,河南
2020-03-11,1273,22,1249,0,0,1,0,0,,,,河南
2020-03-12,1273,22,1249,0,0,0,0,0,,,,河南
2020-03-13,1273,22,1249,0,0,0,0,0,,,,河南
2020-03-14,1273,22,1250,0,0,0,0,1,,,,河南
2020-03-15,1273,22,1250,0,0,0,0,0,,,,河南
2020-03-16,1273,22,1250,0,0,0,0,0,,,,河南
2020-03-17,1273,22,1250,0,0,0,0,0,,,,河南
2020-03-18,1273,22,1250,0,0,0,0,0,,,,河南
2020-03-19,1273,22,1250,0,0,0,0,0,,,,河南
2020-03-20,1273,22,1250,0,0,0,0,0,,,,河南
2020-03-21,1273,22,1250,0,0,0,0,0,,,,河南
2020-03-22,1274,22,1250,0,0,1,0,0,,,,河南
2020-03-23,1274,22,1250,0,0,0,0,0,,,,河南
2020-03-24,1274,22,1250,0,0,0,0,0,,,,河南
2020-03-25,1275,22,1250,0,0,1,0,0,,,,河南
2020-01-24,62,0,1,0,27,62,0,1,,,,浙江
2020-01-25,104,0,1,0,20,42,0,0,,,,浙江
2020-01-26,128,0,1,0,63,24,0,0,,,,浙江
2020-01-27,173,0,1,0,115,45,0,0,,,,浙江
2020-01-28,296,0,3,0,101,123,0,2,,,,浙江
2020-01-29,428,0,4,0,117,132,0,1,,,,浙江
2020-01-30,537,0,10,0,154,109,0,6,,,,浙江
2020-01-31,599,0,15,0,202,62,0,5,,,,浙江
2020-02-01,661,0,23,0,207,62,0,8,,,,浙江
2020-02-02,724,0,36,0,201,63,0,13,,,,浙江
2020-02-03,829,0,48,0,258,105,0,12,,,,浙江
2020-02-04,895,0,63,0,299,66,0,15,,,,浙江
2020-02-05,954,0,81,0,0,59,0,18,,,0.0,浙江
2020-02-06,1006,0,98,0,422,52,0,17,,,236.0,浙江
2020-02-07,1048,0,127,0,0,42,0,29,,,0.0,浙江
2020-02-08,1063,0,173,0,0,15,0,46,,,,浙江
2020-02-09,1092,0,200,0,0,29,0,27,,,,浙江
2020-02-10,1117,0,251,0,0,25,0,51,,,,浙江
2020-02-11,1131,0,279,0,0,14,0,28,,,,浙江
2020-02-12,1145,0,327,0,0,14,0,48,,,,浙江
2020-02-13,1155,0,367,0,0,10,0,40,,,,浙江
2020-02-14,1162,0,409,0,0,7,0,42,,,,浙江
2020-02-15,1167,0,437,0,0,5,0,28,,,,浙江
2020-02-16,1171,0,470,0,0,4,0,33,,,,浙江
2020-02-17,1172,0,514,0,0,1,0,44,,,,浙江
2020-02-18,1173,0,544,0,0,1,0,30,,,,浙江
2020-02-19,1175,0,609,0,0,2,0,65,,,,浙江
2020-02-20,1203,1,647,0,0,28,1,38,,,,浙江
2020-02-21,1205,1,694,0,0,2,0,47,,,,浙江
2020-02-22,1205,1,729,0,0,0,0,35,,,,浙江
2020-02-23,1205,1,765,0,0,0,0,36,,,0.0,浙江
2020-02-24,1205,1,794,0,0,0,0,29,,,,浙江
2020-02-25,1205,1,814,0,0,0,0,20,,,,浙江
2020-02-26,1205,1,881,0,0,0,0,67,,,,浙江
2020-02-27,1205,1,943,0,0,0,0,62,,,,浙江
2020-02-28,1205,1,987,0,0,0,0,44,,,,浙江
2020-02-29,1205,1,1027,0,0,0,0,40,,,,浙江
2020-03-01,1206,1,1050,0,0,1,0,23,,,,浙江
2020-03-02,1213,1,1086,0,0,7,0,36,,,,浙江
2020-03-03,1213,1,1107,0,0,0,0,21,,,,浙江
2020-03-04,1215,1,1130,0,0,2,0,23,,,,浙江
2020-03-05,1215,1,1153,0,0,0,0,23,,,,浙江
2020-03-06,1215,1,1161,0,0,0,0,8,,,,浙江
2020-03-07,1215,1,1169,0,0,0,0,8,,,,浙江
2020-03-08,1215,1,1182,0,0,0,0,13,,,,浙江
2020-03-09,1215,1,1190,0,0,0,0,8,,,,浙江
2020-03-10,1215,1,1205,0,0,0,0,15,,,,浙江
2020-03-11,1227,1,1209,0,0,12,0,4,,,,浙江
2020-03-12,1227,1,1209,0,0,0,0,0,,,,浙江
2020-03-13,1227,1,1211,0,0,0,0,2,,,,浙江
2020-03-14,1231,1,1211,0,0,4,0,0,,,,浙江
2020-03-15,1231,1,1213,0,0,0,0,2,,,,浙江
2020-03-16,1232,1,1216,0,0,1,0,3,0.0,,0.0,浙江
2020-03-17,1232,1,1216,0,0,0,0,0,,,,浙江
2020-03-18,1233,1,1217,0,0,1,0,1,0.0,,0.0,浙江
2020-03-19,1234,1,1219,0,0,1,0,2,,,,浙江
2020-03-20,1236,1,1219,0,0,2,0,0,,,,浙江
2020-03-21,1237,1,1219,0,0,1,0,0,,,,浙江
2020-03-22,1238,1,1221,0,0,1,0,2,,,,浙江
2020-03-23,1240,1,1221,0,0,2,0,0,,,,浙江
2020-03-24,1241,1,1221,0,0,1,0,0,,,,浙江
2020-03-25,1243,1,1222,0,0,2,0,1,,,,浙江
2020-01-22,4,0,0,0,10,4,0,0,,,,湖南
2020-01-23,9,0,0,0,25,5,0,0,,,,湖南
2020-01-24,24,0,0,0,35,15,0,0,,,,湖南
2020-01-25,69,0,0,0,25,45,0,0,,,,湖南
2020-01-26,100,0,0,0,42,31,0,0,,,,湖南
2020-01-27,143,0,0,0,52,43,0,0,,,,湖南
2020-01-28,221,0,0,0,85,78,0,0,,,,湖南
2020-01-29,277,0,0,0,223,56,0,0,,,,湖南
2020-01-30,332,0,2,0,303,55,0,2,,,,湖南
2020-01-31,389,0,3,0,426,57,0,1,,,,湖南
2020-02-01,463,0,8,0,434,74,0,5,,,,湖南
2020-02-02,521,0,16,0,351,58,0,8,,,,湖南
2020-02-03,593,0,22,0,289,72,0,6,,,,湖南
2020-02-04,661,0,35,0,211,68,0,13,,,,湖南
2020-02-05,711,0,56,0,0,50,0,21,,,0.0,湖南
2020-02-06,772,0,91,0,183,61,0,35,,,122.0,湖南
2020-02-07,803,0,119,0,183,31,0,28,,,0.0,湖南
2020-02-08,838,1,159,0,0,35,1,40,,,,湖南
2020-02-09,879,1,186,0,0,41,0,27,,,,湖南
2020-02-10,912,1,213,0,0,33,0,27,,,,湖南
2020-02-11,946,2,263,0,0,34,1,50,,,,湖南
2020-02-12,968,2,312,0,0,22,0,49,,,,湖南
2020-02-13,988,2,352,0,0,20,0,40,,,,湖南
2020-02-14,1001,2,389,0,0,13,0,37,,,,湖南
2020-02-15,1004,3,430,0,0,3,1,41,,,,湖南
2020-02-16,1006,3,467,0,0,2,0,37,,,,湖南
2020-02-17,1007,4,501,0,0,1,1,34,,,,湖南
2020-02-18,1008,4,542,0,0,1,0,41,,,,湖南
2020-02-19,1010,4,578,0,0,2,0,36,,,,湖南
2020-02-20,1011,4,638,0,0,1,0,60,,,,湖南
2020-02-21,1013,4,669,0,0,2,0,31,,,,湖南
2020-02-22,1016,4,704,0,0,3,0,35,,,,湖南
2020-02-23,1016,4,721,0,0,0,0,17,,,,湖南
2020-02-24,1016,4,751,0,0,0,0,30,,,,湖南
2020-02-25,1016,4,779,0,0,0,0,28,,,,湖南
2020-02-26,1017,4,793,0,0,1,0,14,,,,湖南
2020-02-27,1017,4,820,0,0,0,0,27,,,,湖南
2020-02-28,1018,4,841,0,0,1,0,21,,,,湖南
2020-02-29,1018,4,853,0,0,0,0,12,,,,湖南
2020-03-01,1018,4,876,0,0,0,0,23,,,,湖南
2020-03-02,1018,4,892,0,0,0,0,16,,,,湖南
2020-03-03,1018,4,913,0,0,0,0,21,,,,湖南
2020-03-04,1018,4,933,0,0,0,0,20,,,,湖南
2020-03-05,1018,4,946,0,0,0,0,13,,,,湖南
2020-03-06,1018,4,959,0,0,0,0,13,,,,湖南
2020-03-07,1018,4,965,0,0,0,0,6,,,,湖南
2020-03-08,1018,4,979,0,0,0,0,14,,,,湖南
2020-03-09,1018,4,988,0,0,0,0,9,,,,湖南
2020-03-10,1018,4,995,0,0,0,0,7,,,,湖南
2020-03-11,1018,4,998,0,0,0,0,3,,,,湖南
2020-03-12,1018,4,1004,0,0,0,0,6,,,,湖南
2020-03-13,1018,4,1009,0,0,0,0,5,,,,湖南
2020-03-14,1018,4,1014,0,0,0,0,5,0.0,,0.0,湖南
2020-03-15,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-16,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-17,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-18,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-19,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-20,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-21,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-22,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-23,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-24,1018,4,1014,0,0,0,0,0,,,,湖南
2020-03-25,1018,4,1014,0,0,0,0,0,,,,湖南
2020-01-22,1,0,0,0,8,1,0,0,,,,安徽
2020-01-23,15,0,0,0,14,14,0,0,,,,安徽
2020-01-24,39,0,0,0,20,24,0,0,,,,安徽
2020-01-25,60,0,0,0,15,21,0,0,,,,安徽
2020-01-26,70,0,0,0,43,10,0,0,,,,安徽
2020-01-27,106,0,0,0,42,36,0,0,,,,安徽
2020-01-28,152,0,2,0,55,46,0,2,,,,安徽
2020-01-29,200,0,2,0,67,48,0,0,,,,安徽
2020-01-30,237,0,3,0,98,37,0,1,,,,安徽
2020-01-31,297,0,3,0,117,60,0,0,,,,安徽
2020-02-01,340,0,6,0,160,43,0,3,,,,安徽
2020-02-02,408,0,7,0,153,68,0,1,,,,安徽
2020-02-03,480,0,14,0,124,72,0,7,,,,安徽
2020-02-04,530,0,20,0,130,50,0,6,,,,安徽
2020-02-05,591,0,23,0,0,61,0,3,,,0.0,安徽
2020-02-06,665,0,34,0,141,74,0,11,,,78.0,安徽
2020-02-07,733,0,47,0,141,68,0,13,,,0.0,安徽
2020-02-08,779,1,59,0,0,46,1,12,,,,安徽
2020-02-09,830,3,73,0,0,51,2,14,,,,安徽
2020-02-10,860,4,88,0,0,30,1,15,,,,安徽
2020-02-11,889,4,108,0,0,29,0,20,,,,安徽
2020-02-12,910,5,128,0,0,21,1,20,,,,安徽
2020-02-13,934,6,166,0,0,24,1,38,,,,安徽
2020-02-14,950,6,198,0,0,16,0,32,,,,安徽
2020-02-15,962,6,232,0,0,12,0,34,,,,安徽
2020-02-16,973,6,266,0,0,11,0,34,,,,安徽
2020-02-17,982,6,293,0,0,9,0,27,,,,安徽
2020-02-18,986,6,361,0,0,4,0,68,,,,安徽
2020-02-19,987,6,424,0,0,1,0,63,,,,安徽
2020-02-20,988,6,500,0,0,1,0,76,,,,安徽
2020-02-21,989,6,567,0,0,1,0,67,,,,安徽
2020-02-22,989,6,620,0,0,0,0,53,,,,安徽
2020-02-23,989,6,648,0,0,0,0,28,,,,安徽
2020-02-24,989,6,692,0,0,0,0,44,,,,安徽
2020-02-25,989,6,727,0,0,0,0,35,,,,安徽
2020-02-26,989,6,764,0,0,0,0,37,,,,安徽
2020-02-27,990,6,814,0,0,1,0,50,,,,安徽
2020-02-28,990,6,842,0,0,0,0,28,,,,安徽
2020-02-29,990,6,868,0,0,0,0,26,,,,安徽
2020-03-01,990,6,888,0,0,0,0,20,,,,安徽
2020-03-02,990,6,917,0,0,0,0,29,,,,安徽
2020-03-03,990,6,941,0,0,0,0,24,,,,安徽
2020-03-04,990,6,956,0,0,0,0,15,,,,安徽
2020-03-05,990,6,970,0,0,0,0,14,,,,安徽
2020-03-06,990,6,979,0,0,0,0,9,,,,安徽
2020-03-07,990,6,981,0,0,0,0,2,,,,安徽
2020-03-08,990,6,984,0,0,0,0,3,,,,安徽
2020-03-09,990,6,984,0,0,0,0,0,,,,安徽
2020-03-10,990,6,984,0,0,0,0,0,,,,安徽
2020-03-11,990,6,984,0,0,0,0,0,,,,安徽
2020-03-12,990,6,984,0,0,0,0,0,,,,安徽
2020-03-13,990,6,984,0,0,0,0,0,,,,安徽
2020-03-14,990,6,984,0,0,0,0,0,,,,安徽
2020-03-15,990,6,984,0,0,0,0,0,,,,安徽
2020-03-16,990,6,984,0,0,0,0,0,,,,安徽
2020-03-17,990,6,984,0,0,0,0,0,,,,安徽
2020-03-18,990,6,984,0,0,0,0,0,0.0,,0.0,安徽
2020-03-19,990,6,984,0,0,0,0,0,,,,安徽
2020-03-20,990,6,984,0,0,0,0,0,,,,安徽
2020-03-21,990,6,984,0,0,0,0,0,,,,安徽
2020-03-22,990,6,984,0,0,0,0,0,,,,安徽
2020-03-23,990,6,984,0,0,0,0,0,,,,安徽
2020-03-24,990,6,984,0,0,0,0,0,,,,安徽
2020-03-25,990,6,984,0,0,0,0,0,,,,安徽
2020-01-23,7,0,0,0,17,7,0,0,,,,江西
2020-01-24,18,0,0,0,38,11,0,0,,,,江西
2020-01-25,36,0,0,0,30,18,0,0,,,,江西
2020-01-26,48,0,0,0,68,12,0,0,,,,江西
2020-01-27,72,0,0,0,88,24,0,0,,,,江西
2020-01-28,109,0,2,0,107,37,0,2,,,,江西
2020-01-29,162,0,3,0,123,53,0,1,,,,江西
2020-01-30,240,0,7,0,197,78,0,4,,,,江西
2020-01-31,286,0,9,0,260,46,0,2,,,,江西
